rssi,anchor
-55,1004110055
-82,1004110091
-91,1004110093
-84,1004110054
-76,1004110052
-59,1004110055
-82,1004110086
-75,1004110057
-77,1004110087
-79,1004110093
-74,1004110095
-74,1004110056
-80,1004110038
-84,1004110048
-65,1004110055
-79,1004110053
-90,1004110086
-76,1004110093
-74,1004110056
-86,1004110051
-83,1004120006
-87,1004110054
-81,1004110052
-84,1004110038
-62,1004110055
-81,1004110091
-64,1004110088
-73,1004110087
-73,1004110083
-62,1004110052
-77,1004120008
-56,1004110057
-71,1004110094
-61,1004120011
-47,1004110055
-74,1004110090
-71,1004110083
-68,1004110084
-75,1004110053
-56,1004110057
-63,1004110093
-75,1004110083
-68,1004120011
-61,1004110089
-45,1004110055
-76,1004120008
-70,1004110060
-75,1004110038
-60,1004110088
-66,1004110090
-85,1004120007
-70,1004110089
-55,1004110057
-72,1004110087
-72,1004110094
-59,1004120011
-61,1004110052
-71,1004110038
-61,1004110086
-68,1004110090
-68,1004120007
-70,1004110058
-75,1004110051
-63,1004110089
-51,1004110055
-60,1004120006
-64,1004110057
-70,1004110087
-63,1004110087
-73,1004110040
-89,1004110044
-72,1004110052
-46,1004110055
-66,1004110086
-74,1004120008
-60,1004110054
-72,1004110090
-69,1004110059
-62,1004110052
-68,1004120010
-64,1004110055
-67,1004110057
-66,1004110088
-52,1004110095
-89,1004110090
-61,1004110094
-56,1004110091
-70,1004110053
-56,1004110095
-78,1004110090
-65,1004120011
-66,1004110060
-64,1004110089
-75,1004110061
-40,1004110055
-73,1004120008
-68,1004110088
-68,1004110093
-66,1004110052
-75,1004110048
-67,1004110085
-75,1004110054
-67,1004110092
-61,1004110094
-63,1004110059
-68,1004110051
-65,1004120010
-74,1004110082
-74,1004110037
-58,1004110095
-74,1004120011
-81,1004110038
-64,1004110085
-74,1004110081
-63,1004110053
-66,1004110092
-73,1004110083
-72,1004110059
-58,1004110091
-70,1004110051
-61,1004110089
-58,1004120006
-67,1004110053
-77,1004110090
-69,1004110092
-67,1004110094
-67,1004110048
-75,1004110089
-52,1004110055
-58,1004110091
-58,1004120006
-62,1004110095
-70,1004110092
-70,1004110040
-69,1004110059
-69,1004110058
-75,1004110038
-74,1004110048
-72,1004110085
-73,1004110086
-65,1004110057
-59,1004110091
-71,1004110086
-76,1004110087
-68,1004110050
-77,1004110038
-74,1004110088
-67,1004110056
-73,1004110060
-64,1004110051
-49,1004110055
-58,1004120006
-67,1004110087
-71,1004110093
-74,1004110094
-47,1004110055
-67,1004110056
-81,1004110098
-55,1004110055
-66,1004110091
-74,1004120006
-67,1004110057
-56,1004110095
-68,1004120007
-68,1004110092
-74,1004110094
-80,1004110065
-72,1004110053
-73,1004120008
-85,1004120011
-70,1004120010
-58,1004120006
-60,1004110056
-68,1004120010
-61,1004110091
-70,1004120008
-63,1004110057
-58,1004110054
-68,1004120011
-73,1004110060
-59,1004110056
-73,1004110053
-70,1004110093
-62,1004110094
-75,1004120011
-67,1004110060
-71,1004120010
-75,1004110038
-59,1004110057
-70,1004110088
-58,1004110091
-57,1004120006
-52,1004110055
-57,1004110052
-73,1004110086
-74,1004110088
-57,1004110095
-72,1004110092
-78,1004110060
-72,1004110050
-71,1004110089
-68,1004110091
-60,1004110054
-73,1004110083
-68,1004110094
-71,1004110060
-69,1004110051
-58,1004110052
-72,1004110038
-48,1004110055
-75,1004120008
-69,1004110087
-71,1004110093
-67,1004110056
-50,1004110055
-58,1004110052
-71,1004110053
-74,1004110059
-61,1004110091
-71,1004110086
-55,1004110095
-68,1004120007
-61,1004110054
-65,1004110094
-73,1004110057
-72,1004110051
-63,1004110050
-69,1004110038
-69,1004110089
-67,1004110091
-43,1004110055
-62,1004120006
-77,1004110086
-57,1004110054
-66,1004110092
-65,1004110094
-73,1004120010
-74,1004110088
-73,1004110057
-72,1004110092
-60,1004110052
-76,1004110048
-66,1004110086
-57,1004110057
-67,1004110090
-75,1004110059
-75,1004110058
-69,1004120010
-60,1004110089
-43,1004110055
-68,1004120006
-57,1004110055
-74,1004110090
-74,1004110056
-70,1004120010
-66,1004110091
-60,1004110055
-82,1004120008
-69,1004120007
-70,1004110059
-68,1004110048
-70,1004110087
-69,1004110092
-71,1004120010
-59,1004120006
-75,1004110083
-70,1004110094
-71,1004110051
-68,1004110084
-69,1004120007
-57,1004110054
-65,1004110089
-60,1004110091
-67,1004110059
-71,1004110048
-72,1004110086
-63,1004110088
-72,1004110087
-76,1004120007
-74,1004110050
-78,1004110048
-76,1004120008
-67,1004110093
-72,1004110083
-71,1004110060
-72,1004110058
-73,1004110040
-68,1004110060
-56,1004110052
-76,1004110048
-52,1004110055
-72,1004110090
-74,1004110085
-69,1004110086
-69,1004110088
-76,1004110093
-73,1004110092
-76,1004110060
-82,1004110059
-65,1004110089
-71,1004110091
-60,1004110057
-72,1004110090
-46,1004110055
-65,1004110053
-43,1004110055
-56,1004110057
-82,1004110094
-69,1004120011
-44,1004110055
-66,1004110053
-63,1004120007
-57,1004110052
-77,1004110089
-56,1004110057
-68,1004110087
-72,1004110083
-66,1004120011
-70,1004110086
-68,1004110087
-78,1004110056
-69,1004110058
-59,1004110052
-72,1004110091
-73,1004110083
-62,1004110094
-61,1004110059
-46,1004110055
-62,1004110053
-76,1004110088
-73,1004110060
-67,1004110050
-63,1004120006
-69,1004110088
-70,1004110057
-70,1004120007
-73,1004110059
-63,1004110085
-70,1004110088
-69,1004110087
-68,1004110060
-60,1004110052
-68,1004110091
-62,1004120006
-62,1004110053
-75,1004110084
-45,1004110055
-75,1004120006
-73,1004110092
-68,1004110094
-60,1004110054
-62,1004110052
-78,1004110081
-68,1004110085
-68,1004110088
-73,1004110087
-59,1004110054
-70,1004110083
-68,1004110050
-68,1004120008
-64,1004120011
-64,1004110052
-65,1004110085
-79,1004110090
-70,1004120006
-61,1004110057
-57,1004110095
-68,1004120011
-70,1004110059
-72,1004110058
-67,1004110050
-60,1004120006
-69,1004110087
-60,1004110052
-71,1004110053
-73,1004110088
-69,1004110054
-43,1004110055
-69,1004110087
-74,1004110095
-64,1004110094
-78,1004110058
-76,1004120010
-60,1004110052
-74,1004120006
-44,1004110055
-66,1004110053
-74,1004110054
-65,1004110092
-66,1004120011
-42,1004110055
-72,1004120008
-68,1004110088
-69,1004110059
-44,1004110055
-65,1004110053
-80,1004110088
-70,1004110060
-66,1004110050
-62,1004120006
-72,1004110054
-62,1004110094
-68,1004110056
-43,1004110055
-69,1004110079
-72,1004110082
-59,1004110057
-65,1004110093
-59,1004110095
-71,1004110050
-61,1004110057
-63,1004110093
-67,1004110054
-67,1004110094
-80,1004120010
-65,1004110053
-56,1004110095
-64,1004110058
-72,1004110038
-73,1004110051
-41,1004110055
-68,1004110053
-67,1004110054
-61,1004110056
-74,1004110040
-75,1004110089
-79,1004120009
-43,1004110055
-58,1004110057
-59,1004110054
-72,1004120007
-70,1004110094
-70,1004110050
-73,1004110084
-69,1004110086
-63,1004110056
-62,1004120011
-75,1004120010
-74,1004110038
-61,1004110057
-62,1004110056
-75,1004110038
-69,1004110050
-67,1004110089
-46,1004110055
-67,1004110053
-62,1004110093
-68,1004110091
-76,1004120006
-50,1004110055
-59,1004120006
-45,1004110055
-65,1004110053
-63,1004110093
-67,1004110054
-66,1004110056
-69,1004120011
-73,1004120010
-70,1004110050
-47,1004110055
-73,1004120007
-71,1004110058
-49,1004110055
-67,1004110053
-69,1004120011
-47,1004110055
-59,1004110095
-60,1004110056
-76,1004110060
-48,1004110055
-58,1004110095
-70,1004120007
-69,1004110056
-50,1004110055
-62,1004110094
-62,1004110052
-71,1004110051
-42,1004110055
-68,1004110087
-54,1004110095
-72,1004120007
-75,1004120011
-68,1004110060
-77,1004110085
-63,1004120006
-53,1004110055
-67,1004110094
-72,1004110083
-69,1004110051
-66,1004110091
-46,1004110055
-71,1004110082
-74,1004120007
-66,1004110091
-72,1004120009
-73,1004110088
-67,1004110054
-72,1004110094
-73,1004110058
-70,1004110051
-61,1004110091
-58,1004110057
-67,1004110087
-66,1004110094
-62,1004110056
-62,1004120011
-60,1004110052
-42,1004110055
-77,1004110079
-69,1004110057
-74,1004110095
-69,1004110092
-67,1004110051
-71,1004110084
-49,1004110055
-68,1004110053
-65,1004110054
-69,1004110053
-71,1004110088
-59,1004110057
-71,1004110084
-48,1004110055
-64,1004110053
-68,1004110087
-57,1004110052
-71,1004120009
-71,1004120006
-61,1004110057
-61,1004110086
-69,1004110095
-66,1004110054
-68,1004110051
-70,1004110053
-76,1004110087
-64,1004110056
-68,1004110052
-84,1004110089
-63,1004110091
-59,1004120006
-76,1004110053
-65,1004110086
-78,1004110080
-68,1004120011
-65,1004110051
-69,1004110050
-67,1004110084
-77,1004110081
-74,1004110082
-69,1004110087
-60,1004110052
-63,1004110091
-75,1004120009
-63,1004110095
-73,1004120007
-67,1004120011
-73,1004110059
-78,1004120010
-70,1004110050
-66,1004110086
-60,1004110052
-69,1004120006
-73,1004110053
-67,1004110095
-60,1004110054
-70,1004120011
-75,1004110038
-67,1004110084
-43,1004110055
-74,1004120007
-65,1004110056
-67,1004120011
-62,1004110058
-69,1004110089
-48,1004110055
-67,1004110053
-66,1004110057
-75,1004110092
-69,1004110083
-75,1004110058
-74,1004120007
-66,1004110056
-66,1004120011
-51,1004110055
-74,1004120009
-73,1004110053
-67,1004110093
-66,1004110084
-68,1004110089
-69,1004110091
-64,1004110057
-75,1004120007
-57,1004110052
-53,1004110055
-71,1004110053
-69,1004110087
-63,1004110094
-70,1004110038
-67,1004110051
-49,1004110055
-72,1004110088
-66,1004110057
-63,1004110054
-54,1004110055
-73,1004110057
-64,1004110095
-60,1004110054
-60,1004110094
-69,1004110050
-72,1004110053
-70,1004110060
-68,1004110089
-62,1004110091
-63,1004110086
-60,1004110095
-62,1004110094
-50,1004110055
-68,1004110091
-61,1004110056
-76,1004110081
-63,1004120006
-64,1004110088
-76,1004110092
-63,1004110094
-59,1004110052
-71,1004110050
-71,1004110085
-71,1004110087
-62,1004110095
-72,1004120011
-75,1004110084
-41,1004110055
-60,1004120006
-66,1004110088
-66,1004110086
-61,1004110057
-70,1004110093
-65,1004110094
-70,1004110050
-70,1004110084
-71,1004110089
-52,1004110055
-76,1004120009
-67,1004110087
-60,1004110095
-78,1004120011
-42,1004110055
-73,1004110087
-59,1004110057
-59,1004110057
-80,1004110086
-65,1004110093
-68,1004110094
-72,1004120010
-72,1004110084
-42,1004110055
-72,1004120006
-73,1004110053
-63,1004110093
-62,1004120011
-68,1004110051
-47,1004110055
-67,1004120006
-59,1004110091
-72,1004110086
-75,1004110054
-68,1004110091
-74,1004110053
-62,1004110095
-76,1004120007
-71,1004110058
-42,1004110055
-74,1004120006
-64,1004120011
-73,1004110059
-71,1004110051
-67,1004110091
-59,1004110057
-65,1004110087
-78,1004110093
-78,1004110060
-70,1004110059
-70,1004110058
-75,1004110085
-41,1004110055
-63,1004110053
-65,1004110088
-54,1004110095
-61,1004110038
-65,1004110050
-68,1004110089
-67,1004110057
-67,1004110056
-74,1004110060
-46,1004110055
-71,1004120006
-61,1004110054
-73,1004110040
-62,1004110038
-73,1004120010
-69,1004110052
-46,1004110055
-48,1004110055
-67,1004110053
-72,1004110088
-55,1004110095
-75,1004110059
-75,1004110050
-74,1004110058
-49,1004110055
-70,1004110053
-73,1004110086
-71,1004110060
-65,1004110059
-69,1004110052
-43,1004110055
-63,1004110093
-68,1004110090
-75,1004110056
-74,1004120010
-78,1004110084
-48,1004110055
-71,1004110088
-68,1004110083
-72,1004110087
-64,1004110095
-62,1004110093
-63,1004110090
-47,1004110055
-56,1004110054
-73,1004110060
-78,1004110061
-44,1004110055
-75,1004120008
-72,1004110057
-53,1004110095
-71,1004110092
-71,1004110094
-71,1004120011
-71,1004110048
-44,1004110055
-62,1004110053
-71,1004110087
-60,1004110095
-76,1004110050
-61,1004110055
-88,1004110061
-58,1004110095
-68,1004110056
-67,1004110050
-44,1004110055
-63,1004110053
-68,1004110087
-67,1004110095
-73,1004110048
-69,1004110055
-60,1004110091
-68,1004110088
-65,1004110089
-73,1004110090
-71,1004120007
-57,1004110056
-58,1004110052
-54,1004110055
-66,1004110091
-73,1004110082
-77,1004110088
-73,1004110040
-76,1004110083
-78,1004120010
-61,1004110089
-67,1004110057
-61,1004110056
-63,1004110053
-64,1004110095
-68,1004110093
-73,1004110086
-72,1004120011
-72,1004120010
-67,1004110053
-67,1004110057
-69,1004110087
-65,1004110054
-87,1004110084
-49,1004110055
-61,1004110057
-76,1004120007
-58,1004110054
-72,1004110058
-78,1004110038
-63,1004110052
-70,1004110048
-42,1004110055
-66,1004110091
-73,1004120007
-80,1004110084
-50,1004110055
-64,1004120006
-61,1004110053
-62,1004110052
-68,1004110091
-54,1004110095
-66,1004110087
-62,1004110054
-70,1004110094
-65,1004110060
-71,1004120011
-74,1004110052
-72,1004110050
-71,1004110048
-48,1004110055
-63,1004110053
-64,1004110057
-61,1004110095
-58,1004110056
-72,1004110052
-77,1004120010
-70,1004110089
-43,1004110055
-63,1004110057
-56,1004110095
-67,1004110093
-76,1004110092
-63,1004110056
-63,1004110094
-75,1004120011
-74,1004110059
-71,1004110048
-68,1004120006
-76,1004110089
-43,1004110055
-58,1004110095
-74,1004110088
-73,1004110092
-63,1004110056
-71,1004110058
-79,1004110052
-48,1004110055
-74,1004120006
-48,1004110055
-64,1004110053
-53,1004110095
-57,1004110054
-67,1004110056
-73,1004120011
-69,1004110059
-71,1004110052
-72,1004110095
-67,1004110050
-72,1004110048
-73,1004110053
-58,1004110054
-65,1004110094
-75,1004110059
-73,1004110052
-50,1004110055
-67,1004110091
-63,1004110057
-76,1004110094
-62,1004110052
-69,1004110053
-64,1004110088
-70,1004110086
-77,1004110059
-49,1004110055
-69,1004110085
-57,1004110095
-68,1004110093
-69,1004110056
-80,1004120010
-70,1004110053
-77,1004110040
-61,1004110056
-49,1004110055
-67,1004110087
-62,1004110094
-77,1004110083
-74,1004120010
-65,1004110052
-78,1004110050
-55,1004110055
-74,1004120007
-58,1004110056
-53,1004110095
-68,1004110056
-67,1004110052
-72,1004110050
-70,1004110084
-61,1004110095
-70,1004110093
-67,1004110094
-73,1004110056
-50,1004110055
-73,1004110061
-61,1004110091
-65,1004110057
-72,1004110040
-68,1004110092
-77,1004120007
-81,1004110056
-47,1004110055
-74,1004110053
-71,1004110086
-76,1004110058
-79,1004110089
-41,1004110055
-71,1004110086
-78,1004110092
-65,1004110052
-47,1004110055
-62,1004110056
-67,1004110084
-67,1004110091
-43,1004110055
-68,1004110085
-69,1004110057
-67,1004110086
-78,1004110085
-72,1004110088
-65,1004110054
-69,1004110094
-74,1004110050
-55,1004110055
-76,1004110093
-72,1004110060
-73,1004110084
-77,1004110085
-79,1004110094
-67,1004110056
-62,1004110059
-74,1004110051
-66,1004110057
-72,1004110092
-75,1004120011
-82,1004120007
-70,1004110059
-70,1004110058
-84,1004110038
-68,1004110050
-77,1004110087
-67,1004110086
-76,1004110094
-74,1004110093
-72,1004110088
-66,1004110054
-70,1004110058
-71,1004110084
-55,1004110055
-72,1004110057
-74,1004120007
-63,1004110052
-46,1004110055
-72,1004120011
-66,1004110058
-53,1004110055
-81,1004120009
-61,1004110095
-72,1004110087
-60,1004110056
-57,1004110052
-41,1004110055
-68,1004110059
-53,1004110055
-67,1004110095
-73,1004110093
-71,1004110088
-72,1004110089
-73,1004110091
-70,1004110060
-68,1004110059
-73,1004110084
-72,1004110050
-60,1004110057
-70,1004110087
-66,1004110052
-69,1004110091
-60,1004110059
-54,1004110055
-69,1004110086
-60,1004110054
-77,1004110058
-66,1004110084
-75,1004110089
-78,1004110048
-74,1004110057
-63,1004110054
-67,1004110094
-71,1004110038
-71,1004120006
-80,1004110037
-71,1004110086
-60,1004110056
-68,1004110092
-72,1004120007
-78,1004110058
-68,1004110084
-72,1004110050
-70,1004110089
-67,1004110091
-72,1004110095
-77,1004110086
-57,1004110056
-66,1004110083
-63,1004110052
-69,1004110089
-59,1004120006
-63,1004110054
-77,1004110060
-62,1004110054
-77,1004110038
-67,1004110084
-71,1004110048
-50,1004110055
-69,1004110053
-65,1004110095
-59,1004120006
-59,1004110095
-67,1004110052
-70,1004110057
-74,1004110092
-77,1004120011
-69,1004110051
-52,1004110055
-67,1004110053
-70,1004120007
-63,1004110056
-74,1004110059
-63,1004110058
-68,1004110083
-73,1004110084
-71,1004110048
-70,1004110053
-64,1004110095
-63,1004110093
-69,1004110056
-71,1004110059
-61,1004110052
-70,1004110089
-74,1004110048
-44,1004110055
-74,1004110082
-70,1004110054
-65,1004120011
-69,1004110053
-70,1004110093
-71,1004110089
-43,1004110055
-66,1004110057
-56,1004110055
-58,1004110052
-68,1004110091
-62,1004110091
-68,1004110085
-63,1004110095
-66,1004110056
-76,1004110084
-75,1004110050
-73,1004110048
-72,1004110054
-71,1004110058
-42,1004110055
-72,1004110053
-73,1004110094
-67,1004110083
-77,1004110050
-78,1004110051
-73,1004110088
-67,1004110054
-71,1004110060
-65,1004110095
-63,1004110086
-73,1004110094
-83,1004120009
-67,1004110057
-64,1004110056
-67,1004110092
-75,1004110093
-59,1004110054
-69,1004120011
-67,1004120007
-73,1004110092
-71,1004110091
-64,1004110056
-70,1004110083
-68,1004120011
-71,1004110050
-69,1004110051
-74,1004110085
-60,1004110056
-65,1004110054
-67,1004110092
-65,1004110059
-70,1004110084
-76,1004110083
-85,1004110058
-74,1004110051
-51,1004110055
-75,1004110053
-69,1004110095
-75,1004110094
-64,1004110054
-60,1004110052
-74,1004110091
-58,1004120006
-71,1004110050
-71,1004110053
-59,1004110095
-76,1004110093
-68,1004110083
-68,1004120011
-65,1004110052
-80,1004110088
-60,1004110054
-68,1004120007
-74,1004110050
-77,1004110095
-72,1004110057
-68,1004110091
-52,1004110055
-75,1004110051
-68,1004110051
-57,1004110095
-72,1004110094
-66,1004110059
-73,1004110057
-74,1004110088
-68,1004110058
-66,1004110050
-71,1004110091
-66,1004110095
-76,1004110092
-68,1004110083
-67,1004110052
-81,1004110084
-61,1004110091
-71,1004110087
-76,1004110090
-67,1004110050
-41,1004110055
-63,1004110053
-58,1004110057
-60,1004110093
-63,1004110056
-61,1004120007
-61,1004110052
-78,1004110051
-71,1004110085
-44,1004110055
-67,1004110088
-66,1004110086
-69,1004110053
-63,1004110057
-67,1004110093
-71,1004110092
-67,1004110083
-53,1004110055
-62,1004110054
-65,1004110050
-64,1004120006
-77,1004120008
-61,1004110057
-63,1004110052
-62,1004110050
-50,1004110055
-58,1004110095
-67,1004110086
-64,1004110053
-66,1004110057
-66,1004120006
-55,1004110055
-55,1004110095
-77,1004110046
-75,1004110092
-74,1004110083
-75,1004110060
-70,1004110052
-64,1004110057
-78,1004110040
-67,1004110083
-67,1004120011
-65,1004110052
-61,1004110055
-61,1004110053
-56,1004110095
-67,1004110087
-77,1004110040
-71,1004110056
-71,1004110038
-70,1004110050
-73,1004110094
-59,1004110056
-67,1004110083
-74,1004110060
-65,1004120006
-58,1004110095
-71,1004110092
-71,1004110058
-74,1004110050
-43,1004110055
-70,1004110086
-76,1004110081
-69,1004120006
-62,1004110053
-60,1004110095
-59,1004110054
-68,1004120011
-74,1004110084
-66,1004110089
-73,1004110048
-70,1004110091
-70,1004110093
-66,1004110083
-56,1004110095
-76,1004110082
-77,1004110092
-76,1004110038
-61,1004110052
-49,1004110055
-74,1004120007
-65,1004120011
-67,1004110050
-78,1004110061
-70,1004120006
-71,1004110053
-60,1004110057
-75,1004110086
-61,1004110054
-79,1004110060
-76,1004110058
-69,1004120010
-78,1004110050
-44,1004110055
-63,1004110094
-74,1004120007
-80,1004110092
-63,1004120011
-75,1004110089
-72,1004120006
-55,1004110055
-70,1004110086
-70,1004110093
-67,1004110054
-73,1004110056
-76,1004120010
-68,1004110052
-67,1004110091
-71,1004120007
-85,1004120010
-76,1004110053
-58,1004110095
-71,1004110086
-71,1004110094
-69,1004110054
-71,1004110060
-65,1004110083
-65,1004110059
-75,1004110091
-68,1004120006
-60,1004110053
-64,1004120011
-78,1004110038
-74,1004110048
-65,1004110086
-62,1004110093
-61,1004110056
-81,1004110059
-65,1004110052
-70,1004110050
-75,1004110048
-78,1004120009
-57,1004110055
-64,1004110086
-68,1004110093
-71,1004110090
-59,1004110054
-57,1004110056
-77,1004110060
-74,1004110058
-68,1004110050
-73,1004110051
-78,1004110047
-76,1004110091
-50,1004110055
-63,1004110053
-73,1004110057
-74,1004110083
-73,1004110089
-62,1004110057
-67,1004110095
-69,1004110093
-71,1004110091
-61,1004110053
-67,1004110087
-66,1004120011
-71,1004120010
-83,1004110104
-77,1004110105
-42,1004110055
-60,1004110095
-61,1004110054
-72,1004110059
-72,1004110084
-72,1004110088
-74,1004110088
-69,1004110087
-61,1004110093
-68,1004110085
-61,1004110053
-70,1004110093
-69,1004110094
-65,1004120011
-81,1004110081
-73,1004120009
-70,1004110087
-70,1004110092
-77,1004110055
-61,1004120011
-72,1004110038
-71,1004110057
-64,1004110095
-63,1004110094
-65,1004120011
-71,1004110052
-40,1004110055
-71,1004110087
-50,1004110055
-80,1004110086
-58,1004110054
-64,1004110089
-75,1004110051
-38,1004110055
-67,1004110057
-63,1004110088
-71,1004110094
-69,1004110083
-72,1004110084
-72,1004120009
-47,1004110055
-67,1004110053
-71,1004110087
-79,1004110044
-70,1004110038
-77,1004110088
-73,1004110087
-65,1004110056
-74,1004110084
-62,1004110053
-85,1004110044
-73,1004110092
-59,1004120011
-62,1004110091
-48,1004110055
-67,1004110087
-73,1004110086
-57,1004110052
-68,1004110057
-56,1004110054
-62,1004120011
-69,1004110089
-61,1004110091
-48,1004110055
-74,1004110086
-63,1004110054
-71,1004110058
-75,1004120010
-65,1004110050
-79,1004120006
-68,1004110050
-69,1004110091
-62,1004120006
-45,1004110055
-62,1004110053
-73,1004110093
-80,1004110044
-70,1004110058
-71,1004110086
-67,1004110093
-66,1004110056
-71,1004110048
-70,1004110091
